"ID","ORD","AAO_ID","DEPT_ID","PORTFOLIO_ID"
"476","8","85","10",
"477","9","85","45",
"478","10","85","18","4"
"479","11","85","46",
"480","12","85","51",
"481","13","85","48",
"482","14","85","14",
"483","15","85","49",
"484","16","85","16",
"485","17","85","17","1"
"486","0","86","39",
"487","1","86","2",
"488","2","86","40",
"489","3","86","4",
"490","4","86","50",
"491","5","86","42",
"492","6","86","43",
"493","7","86","44",
"494","8","86","10",
"495","9","86","45",
"496","10","86","18","4"
"497","11","86","46",
"498","12","86","51",
"499","13","86","48",
"500","14","86","14",
"501","15","86","49",
"502","16","86","16",
"503","17","86","17","1"
"504","0","87","2",
"505","1","87","52",
"506","2","87","4",
"507","3","87","50",
"508","4","87","42",
"509","5","87","43",
"510","6","87","44",
"511","7","87","10",
"512","8","87","45",
"513","9","87","18","4"
"514","10","87","46",
"515","11","87","53",
"516","12","87","48",
"517","13","87","14",
"518","14","87","49",
"519","15","87","16",
"520","16","87","17","1"
"521","0","88","54",
"522","1","88","2",
"523","2","88","52",
"524","3","88","4",
"525","4","88","50",
"526","5","88","42",
"527","6","88","43",
"528","7","88","44",
"529","8","88","10",
"530","9","88","45",
"531","10","88","18","4"
"532","11","88","46",
"533","12","88","53",
"534","13","88","48",
"535","14","88","14",
"536","15","88","49",
"537","16","88","16",
"538","17","88","17","1"
"539","0","89","54",
"540","1","89","2",
"541","2","89","52",
"542","3","89","4",
"543","4","89","50",
"544","5","89","42",
"545","6","89","43",
"546","7","89","44",
"547","8","89","10",
"548","9","89","45",
"549","10","89","18","4"
"550","11","89","46",
"551","12","89","53",
"552","13","89","48",
"553","14","89","14",
"554","15","89","49",
"555","16","89","16",
"556","17","89","17","1"
"557","0","90","54",
"558","1","90","2",
"559","2","90","52",
"560","3","90","4",
"561","4","90","50",
"562","5","90","42",
"563","6","90","55",
"564","7","90","44",
"565","8","90","10",
"566","9","90","45",
"567","10","90","18","4"
"568","11","90","46",
"569","12","90","53",
"570","13","90","48",
"571","14","90","14",
"572","15","90","49",
"573","16","90","16",
"574","17","90","17","1"
"575","0","91","54",
"576","1","91","2",
"577","2","91","52",
"578","3","91","4",
"579","4","91","50",
"580","5","91","42",
"581","6","91","55",
"582","7","91","44",
"583","8","91","10",
"584","9","91","45",
"585","10","91","18","4"
"586","11","91","46",
"587","12","91","53",
"588","13","91","48",
"589","14","91","14",
"590","15","91","49",
"591","16","91","16",
"592","17","91","17","1"
"593","0","92","54",
"594","1","92","2",
"595","2","92","52",
"596","3","92","4",
"597","4","92","50",
"598","5","92","42",
"599","6","92","55",
"600","7","92","44",
"601","8","92","10",
"602","9","92","45",
"603","10","92","18","4"
"604","11","92","46",
"605","12","92","53",
"606","13","92","48",
"607","14","92","14",
"608","15","92","49",
"609","16","92","16",
