"SRC_ACT_NAME_ID","DST_ACT_NAME_ID","TYPE","SCORE"
"1372","11470","term","27.402978897094727"
"1372","11470","3gram","195.53514099121094"
"1372","11470","shingle","54.2769775390625"
"1988","9736","term","18.997758865356445"
"1988","9736","shingle","32.44324493408203"
"1236","3420","term","5.804873943328857"
"1236","3420","shingle","9.648881912231445"
"612","11187","term","12.28850269317627"
"612","7941","3gram","122.0530014038086"
"612","11187","shingle","17.588666915893555"
"922","2614","term","13.034319877624512"
"922","1136","3gram","71.09187316894531"
"922","2614","shingle","18.057615280151367"
"1462","7266","phrase","25.950510025024414"
"1462","7266","term","43.134002685546875"
"1462","7266","3gram","336.7154541015625"
"1462","7266","shingle","119.21240234375"
"1247","7883","phrase","26.13318634033203"
"1247","7883","term","26.13318634033203"
"1247","7883","3gram","152.99740600585938"
"1247","7883","shingle","45.385276794433594"
