"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"8","165","2.5495068E7"
"9","165","2.6802737E7"
"10","165","2.8208757E7"
"1","166","538298.0"
"2","166","548099.0"
"8","166","578873.0"
"9","166","604656.0"
"10","166","612454.0"
"1","167","1.2515897E7"
"2","167","1.2142224E7"
"8","167","1.1807063E7"
"9","167","9909862.0"
"10","167","9832747.0"
"1","168","6042374.0"
"2","168","6168019.0"
"8","168","6302256.0"
"9","168","6459380.0"
"10","168","6620614.0"
"1","169","95876.0"
"2","169","83274.0"
"8","169","87390.0"
"9","169","92101.0"
"10","169","97021.0"
"1","170","328216.0"
"2","170","323974.0"
"8","170","318314.0"
"9","170","314068.0"
"10","170","323594.0"
"1","171","82530.0"
"2","171","84886.0"
"8","171","84632.0"
"9","171","83782.0"
"10","171","80867.0"
"1","172","370827.0"
"2","172","374644.0"
"8","172","391343.0"
"9","172","398386.0"
"10","172","398715.0"
"1","173","31437.0"
"2","173","33008.0"
"8","173","27269.0"
"9","173","25189.0"
"10","173","24168.0"
"1","174","253115.0"
"2","174","319472.0"
"8","174","285482.0"
"9","174","265712.0"
"10","174","269709.0"
"1","175","1.6795876E7"
"2","175","1.8184052E7"
"8","175","1.960277E7"
"9","175","2.0714711E7"
"10","175","2.2203442E7"
"1","176","174333.0"
"2","176","212757.0"
"8","176","204445.0"
"9","176","189290.0"
"10","176","189834.0"
"1","177","799280.0"
"2","177","877323.0"
"8","177","675013.0"
"9","177","686688.0"
"10","177","712255.0"
"1","178","901953.0"
"2","178","934910.0"
"8","178","971979.0"
"9","178","1011910.0"
"10","178","1052605.0"
"1","179","1322760.0"
"2","179","1422225.0"
"8","179","1444340.0"
"9","179","1503122.0"
"10","179","1518190.0"
"1","180","487527.0"
"2","180","445407.0"
"8","180","438716.0"
"9","180","436664.0"
"10","180","428369.0"
"1","181","432881.0"
"2","181","463496.0"
"8","181","359624.0"
"9","181","337078.0"
"10","181","342167.0"
"1","182","354336.0"
"2","182","367954.0"
"8","182","367992.0"
"9","182","374202.0"
"10","182","380189.0"
"1","183","44034.0"
"2","183","43276.0"
"8","183","41077.0"
"9","183","42270.0"
"10","183","42599.0"
"1","184","965608.0"
"2","184","1120817.0"
"8","184","1335185.0"
"9","184","1664506.0"
"10","184","1746461.0"
"1","185","57058.0"
"2","185","5934.0"
"8","185","3117.0"
"9","185","3173.0"
"10","185","3285.0"
"1","186","38758.0"
"2","186","22736.0"
"8","186","20866.0"
"9","186","13068.0"
"10","186","9988.0"
"1","187","11294.0"
"2","187","11065.0"
"8","187","10875.0"
"9","187","11212.0"
"10","187","11383.0"
"1","188","25406.0"
"2","188","25317.0"
"8","188","25202.0"
"9","188","25606.0"
"10","188","26195.0"
"1","189","23233.0"
"2","189","23123.0"
"8","189","23505.0"
"9","189","23511.0"
"10","189","23636.0"
"1","190","1182879.0"
"2","190","1263462.0"
"8","190","1344024.0"
"9","190","1455901.0"
"10","190","1588896.0"
"1","191","5936.0"
"2","191","5470.0"
"8","191","5667.0"
