"ID","PORTFOLIO_ID","DEPT_ID","AGENCY_ID","BUDGET_YEAR","FILE"
"34",,"52","34","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NPG - cleaned.xlsx"
"35",,"52","35","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - OPH - cleaned.xlsx"
"36",,"52","36","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - SA - cleaned.xlsx"
"37",,"52","37","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - SBS - cleaned.xlsx"
"38",,"4","38","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Defence/2018-19 PBS - Defence - cleaned.xls"
"39",,"50","39","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/ACARA PBS 2018-19 - cleaned.xlsx"
"40",,"50","40","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/AITSL PBS 2018-19 - cleaned.xlsx"
"41",,"50","41","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/ARC PBS 2018-19 - cleaned.xlsx"
"42",,"50","42","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/ASQA PBS 2018-19 - cleaned.xlsx"
"43",,"50","43","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/DET PBS 2018-19 - cleaned.xlsx"
