"ID","NAME"
"192","High Court of Australia Act 1979"
"193","Human Rights and Equal Opportunity Commission Act 1986"
"194","Human Rights and Equal Opportunity Commission (Transitional Provisions and Consequential Amendments) Act 1986"
"195","Human Rights (Sexual Conduct) Act 1994"
"196","Import Processing Charges Acts"
"197","Intelligence Services Act 2001, insofar as it relates to the Australian Security Intelligence Organisation"
"198","International Criminal Court Act 2002"
"199","International Arbitration Act 1974"
"200","International Criminal Court (Consequential Amendments) Act 2002"
"201","International Transfer of Prisoners Act 1997"
"202","International War Crimes Tribunals Act 1995"
"203","International War Crimes Tribunals (Consequential Amendments) Act 1995"
"204","Judges (Long Leave Payments) Act 1979"
"205","Judges' Pensions Act 1968"
"206","Judicial Appointment (Western Samoa) Act 1980"
"207","Judiciary Act 1903"
"208","Judiciary (Diplomatic Representation) Act 1977"
"209","Jurisdiction of Courts (Cross-vesting) Act 1987"
"210","Jury Exemption Act 1965"
"211","Law Courts (Sydney) Act 1977"
"212","Law Officers Act 1964"
"213","Maintenance Orders (Commonwealth Officers) Act 1966"
"214","Marine Insurance Act 1909"
"215","Marriage Act 1961, except to the extent administered by the Minister for Family and Community Services"
"216","Matrimonial Causes Act 1971"
"217","Mutual Assistance in Business Regulation Act 1992"
"218","Mutual Assistance in Criminal Matters Act 1987"
"219","Mutual Assistance in Criminal Matters (Consequential Amendments) Act 1987"
"220","Narcotic Drugs Act 1967, sections 12 and 22 and subsection 24(2), and so much of the remaining provisions of that Act (other than sections 9, 10, 11, 13, 19 and 23 and subsection 24(1)) as relate to powers and functions under those sections"
"221","National Crime Authority Act 1984"
"222","National Crime Authority (Status and Rights of Former Chairman) Act 1984"
"223","National Firearms Program Implementation Acts"
"224","Native Title Act 1993, except to the extent administered by the Minister for Immigration and Multicultural and Indigenous Affairs"
"225","Nauru (High Court Appeals) Act 1976"
"226","Ordinances and Regulations (Notification) Acts"
"227","Parliamentary Counsel Act 1970"
"228","Parliamentary Papers Act 1908"
"229","Parliamentary Privileges Act 1987"
"230","Passenger Movement Charge Act 1978"
"231","Passenger Movement Charge Collection Act 1978"
"232","Privacy Act 1988"
"233","Privy Council (Appeals from the High Court) Act 1975"
"234","Privy Council (Limitation of Appeals) Act 1968"
"235","Proceeds of Crime Act 1987"
"236","Proceeds of Crime (Consequential Amendments and Transitional Provisions) Act 2002"
"237","Psychotropic Substances Act 1976"
"238","Public Order (Protection of Persons and Property) Act 1971"
"239","Racial Discrimination Act 1975"
"240","Removal of Prisoners (Territories) Act 1923, insofar as it relates to the release of prisoners and criminal lunatics removed from the Northern Territory of Australia"
"241","Royal Commission into the New South Wales Police Service (Access to Information) Act 1994"
"242","Seas and Submerged Lands Act 1973"
"243","Secret Commissions Act 1905"
"244","Service and Execution of Process Act 1992"
"245","Service and Execution of Process (Transitional Provisions and Consequential Amendments) Act 1992"
"246","Sex Discrimination Act 1984"
"247","Special Prosecutors Act 1982"
"248","Statute Law Revision Act 2002"
"249","Statute of Westminster Adoption Act 1942"
"250","Statute Stocktake Act 1999"
"251","Statutory Declarations Act 1959"
"252","Statutory Rules Publication Act 1903"
"253","Telecommunications (Interception) Act 1979"
"254","Telecommunications (Interception-Carriers) Act 1992"
"255","Transfer of Prisoners Act 1983"
"256","Trusts (Hague Convention) Act 1991"
"257","War Crimes Act 1945"
"258","Witness Protection Act 1994"
"259","Workplace Relations Act 1996,sections 324-328 inclusive of Schedule 1B in respect of powers under those sections; and Part XIV except for sections 413 and 471"
"260","Archives Act 1983"
"261","AUSSAT Repeal Act 1991"
"262","Australia Council Act 1975"
"263","Australian Broadcasting Corporation Act 1983"
"264","Australian Broadcasting Corporation (Transitional Provisions and Consequential Amendments) Act 1983"
"265","Australian Communications Authority Act 1997"
"266","Australian Film Commission Act 1975"
"267","Australian Film, Television and Radio School Act 1973"
"268","Australian National Maritime Museum Act 1990"
"269","Australian Postal Corporation Act 1989"
"270","Australian Sports Commission Act 1989"
"271","Australian Sports Drug Agency Act 1990"
"272","Broadcasting Act 1942, section 1; subsection 4(1) so far as it relates to the definitions of the terms Australia, election, election period, exempt matter, government authority, legislature of a Territory, ordinary election, Parliament, policy launch, political party, political reference, program, referendum, SBS, Senate election and the Corporation; subsection 4(4); section 6; Part IIID; and section 134 in relation to the making of regulations for the purposes of Part IIID"
"273","Broadcasting Services Act 1992"
"274","Broadcasting Services (Transitional Provisions and Consequential Amendments) Act 1992"
"275","Datacasting Charge (Imposition) Act 1998"
"276","Film Licensed Investment Company Act 1998"
"277","Interactive Gambling Act 2001"
"278","Interactive Gambling (Moratorium) Act 2000"
"279","National Gallery Act 1975"
"280","National Library Act 1960"
"281","National Museum of Australia Act 1980"
"282","National Transmission Network Sale Act 1998"
"283","NRS Levy Imposition Act 1998"
"284","Parliamentary Proceedings Broadcasting Act 1946"
"285","Public Lending Right Act 1985"
"286","Radiocommunications Act 1992"
"287","Radiocommunications (Receiver Licence Tax) Act 1983"
"288","Radiocommunications (Spectrum Licence Tax) Act 1997"
"289","Radiocommunications Taxes Collection Act 1983"
"290","Radiocommunications (Transitional Provisions and Consequential Amendments) Act 1992"
"291","Radiocommunications (Transmitter Licence Tax) Act 1983"
"292","Radio Licence Fees Act 1964"
"293","Special Broadcasting Service Act 1991"
"294","Telecommunications Act 1997"
"295","Telecommunications and Postal Services (Transitional Provisions and Consequential Amendments) Act 1989"
"296","Telecommunications (Carrier Licence Charges) Act 1997"
"297","Telecommunications (Consumer Protection and Service Standards) Act 1999"
"298","Telecommunications (Numbering Charges) Act 1997"
"299","Telecommunications (Transitional Provisions and Consequential Amendments) Act 1991"
"300","Telecommunications (Transitional Provisions and Consequential Amendments) Act 1997"
"301","Telecommunications (Universal Service Levy) Act 1997"
"302","Television Licence Fees Act 1964"
"303","Telstra Corporation Act 1991, excluding Division 2 of Part 9"
"304","Trade Practices Act 1974, Parts XIB and XIC"
"305","Year 2000 Information Disclosure Act 1999"
"306","Air Force Act 1923"
"307","Approved Defence Projects Protection Act 1947"
"308","Cockatoo and Schnapper Islands Act 1949"
"309","Commonwealth and State Housing Agreement (Service Personnel) Act 1990"
"310","Control of Naval Waters Act 1918"
"311","Defence Act 1903, other than sections 58F to 58Q, 61, 61A, 61B, 61C, 118A and 118B and paragraph 124(1)(qba)"
"312","Defence Force Discipline Act 1982"
"313","Defence Force (Home Loans Assistance) Act 1990"
"314","Defence Force Retirement and Death Benefits Act 1973"
"315","Defence Force Retirement and Death Benefits (Pension Increases) Acts"
"316","Defence Forces Retirement Benefits Acts"
"317","Defence Forces Retirement Benefits Fund (Distribution of Surplus to Pensioners) Act 1976"
"318","Defence Forces Retirement Benefits (Pension Increases) Acts"
"319","Defence Forces Special Retirement Benefits Act 1960"
"320","Defence Housing Authority Act 1987"
"321","Defence Reserve Service (Protection) Act 2001"
"322","Defence (Parliamentary Candidates) Act 1969"
"323","Defence (Special Undertakings) Act 1952"
"324","Explosives Act 1961"
"325","Geneva Conventions Act 1957, Part IV"
"326","Intelligence Services Act 2001, insofar as it relates to that part of the Department of Defence known as the Defence Signals Directorate"
"327","Military Superannuation and Benefits Act 1991"
"328","Naval Defence Act 1910"
