"ACT_NO","YEAR","ACT_NAME_ID"
"16","1903","7488"
"11","1904","7489"
"11","1904","7489"
"6","1905","7490"
"6","1905","7490"
"7","1906","7491"
"7","1906","7491"
"5","1909","7492"
"5","1909","7492"
"12","1910","7493"
"12","1910","7493"
"5","1911","7494"
"5","1911","7494"
"7","1912","7495"
"7","1912","7495"
"8","1913","7496"
"8","1913","7496"
"21","1914","7497"
"6","1916","7498"
"13","1917","7499"
"13","1917","7499"
"17","1917","7500"
"17","1917","7500"
"23","1918","7501"
"23","1918","7501"
"12","1919","7502"
"12","1919","7502"
"26","1920","7503"
"26","1920","7503"
"11","1921","7504"
"11","1921","7504"
"8","1922","7505"
"8","1922","7505"
"10","1923","7506"
"10","1923","7506"
"13","1924","7507"
"13","1924","7507"
"9","1925","7508"
"9","1925","7508"
"30","1926","7509"
"30","1926","7509"
"26","1927","7510"
"26","1927","7510"
"30","1928","7511"
"30","1928","7511"
"35","1929","7512"
"35","1929","7512"
"21","1930","7513"
"21","1930","7513"
"16","1931","7514"
"16","1931","7514"
"33","1932","7515"
"33","1932","7515"
"15","1933","7516"
"15","1933","7516"
"19","1934","7517"
"19","1934","7517"
"37","1935","7518"
"37","1935","7518"
"31","1936","7519"
"31","1936","7519"
"16","1937","7520"
"16","1937","7520"
"40","1938","7521"
"40","1938","7521"
"67","1939","7522"
"67","1939","7522"
"98","1940","7523"
"98","1940","7523"
"61","1941","7524"
"61","1941","7524"
"45","1942","7525"
"45","1942","7525"
"57","1943","7526"
"57","1943","7526"
"27","1944","7527"
"27","1944","7527"
"34","1945","7528"
"34","1945","7528"
"57","1946","7529"
"57","1946","7529"
"51","1947","7530"
"51","1947","7530"
"15","1949","7531"
"15","1949","7531"
"3","1950","7532"
"3","1950","7532"
"7","1951","7533"
"26","1952","7534"
"16","1953","7535"
"25","1954","7536"
"24","1955","7537"
"27","1956","7538"
"18","1957","7539"
"33","1958","7540"
"35","1959","7541"
"34","1960","7542"
"35","1961","7543"
"55","1962","7544"
"14","1963","7545"
"34","1964","7546"
"48","1934","7547"
"48","1934","7547"
"46","1937","7548"
"46","1937","7548"
"41","1948","7549"
"41","1948","7549"
"43","1949","7550"
"43","1949","7550"
"36","1950","7551"
"36","1950","7551"
"38","1951","7552"
"60","1952","7553"
"44","1953","7554"
"35","1954","7555"
"42","1955","7556"
"71","1956","7557"
"52","1957","7558"
"61","1958","7559"
"68","1959","7560"
"51","1960","7561"
"59","1961","7562"
"65","1962","7563"
"60","1963","7564"
"72","1938","7565"
"72","1938","7565"
"27","1940","7566"
"27","1940","7566"
"30","1942","7567"
"30","1942","7567"
"23","1943","7568"
"23","1943","7568"
"22","1944","7569"
"22","1944","7569"
"8","1945","7570"
"8","1945","7570"
"18","1946","7571"
"18","1946","7571"
"40","1947","7572"
"40","1947","7572"
"23","1948","7573"
"23","1948","7573"
"14","1949","7574"
"14","1949","7574"
"2","1950","7575"
"2","1950","7575"
"67","1965","7576"
"45","1966","7577"
"66","1967","7578"
"80","1968","7579"
"85","1969","7580"
"94","1970","7581"
"118","1971","7582"
"104","1972","7583"
"157","1973","7584"
"94","1974","7585"
"115","1975","7586"
"115","1976","7587"
"139","1977","7588"
"141","1978","7589"
"144","1979","7590"
"141","1980","7591"
"164","1981","7592"
"116","1982","7593"
"98","1983","7594"
"170","1984","7595"
"117","1986","7596"
"112","1987","7597"
"102","1988","7598"
"155","1989","7599"
"98","1990","7600"
"164","1991","7601"
"141","1992","7602"
"72","1993","7603"
"46","1999","7604"
"81","2000","7605"
"64","2001","7606"
"43","2002","7607"
"55","2003","7608"
"88","2004","7609"
"72","2005","7610"
"66","2006","7611"
"95","2007","7612"
"55","2008","7613"
"63","2009","7614"
"60","2010","7615"
"69","2011","7616"
"78","2012","7617"
"107","2013","7618"
"63","2014","7619"
"76","2015","7620"
"69","2016","2230"
"60","2017","2234"
"50","2018","2240"
"6","1951","7621"
"25","1952","7622"
"15","1953","7623"
"24","1954","7624"
"23","1955","7625"
"26","1956","7626"
"17","1957","7627"
"32","1958","7628"
"34","1959","7629"
"33","1960","7630"
"30","1961","7631"
"54","1962","7632"
"13","1963","7633"
"33","1964","7634"
"122","1964","7635"
"68","1965","7636"
"46","1966","7637"
"67","1967","7638"
"81","1968","7639"
"86","1969","7640"
"95","1970","7641"
"119","1971","7642"
"105","1972","7643"
"158","1973","7644"
"95","1974","7645"
"116","1975","7646"
"116","1976","7647"
"140","1977","7648"
"142","1978","7649"
"145","1979","7650"
"142","1980","7651"
"165","1981","7652"
"117","1982","7653"
"87","1983","7654"
"171","1984","7655"
"139","1985","7656"
"118","1986","7657"
"113","1987","7658"
"103","1988","7659"
"156","1989","7660"
"99","1990","7661"
"165","1991","7662"
"142","1992","7663"
"73","1993","7664"
"47","1999","7665"
"82","2000","7666"
"65","2001","7667"
"44","2002","7668"
"56","2003","7669"
"89","2004","7670"
"73","2005","7671"
"67","2006","7672"
"96","2007","7673"
"56","2008","7674"
"64","2009","7675"
"61","2010","7676"
"70","2011","7677"
"79","2012","7678"
"108","2013","7679"
"64","2014","7680"
"77","2015","7681"
"70","2016","2231"
"61","2017","2235"
"51","2018","2241"
"15","1965","7682"
"18","1966","7683"
"25","1967","7684"
"20","1968","7685"
"27","1969","7686"
"10","1970","7687"
"23","1971","7688"
"125","1971","7689"
"12","1973","7690"
"10","1974","7691"
"9","1975","7692"
"38","1976","7693"
"35","1977","7694"
"42","1978","7695"
"29","1979","7696"
"61","1980","7697"
"55","1981","7698"
"35","1982","7699"
"1","1983","7700"
"32","1984","7701"
"36","1985","7702"
"30","1986","7703"
"29","1987","7704"
"41","1988","7705"
"43","1989","7706"
"29","1990","7707"
"29","1991","7708"
"39","1992","7709"
"182","1992","7710"
"51","1994","7711"
"37","2000","7712"
"20","2001","7713"
"2","2002","7714"
"14","2003","7715"
"37","2004","7716"
"35","2005","7717"
"20","2006","7718"
"41","2007","7719"
"15","2008","7720"
"21","2009","7721"
"24","2010","7722"
"7","2011","7723"
"30","2012","7724"
"21","2013","7725"
"19","2014","7726"
"28","2015","7727"
"27","2016","7728"
"29","2017","2232"
"18","2018","2236"
"19","1966","7729"
"26","1967","7730"
"21","1968","7731"
"28","1969","7732"
"11","1970","7733"
"24","1971","7734"
"40","1972","7735"
"13","1973","7736"
"11","1974","7737"
"10","1975","7738"
"39","1976","7739"
"36","1977","7740"
"43","1978","7741"
"30","1979","7742"
"62","1980","7743"
"56","1981","7744"
"36","1982","7745"
"2","1983","7746"
"33","1984","7747"
"37","1985","7748"
"31","1986","7749"
"30","1987","7750"
"42","1988","7751"
"44","1989","7752"
"30","1990","7753"
"64","1991","7754"
"40","1992","7755"
"183","1992","7756"
"52","1994","7757"
"38","2000","7758"
"21","2001","7759"
"3","2002","7760"
"15","2003","7761"
"38","2004","7762"
"36","2005","7763"
"21","2006","7764"
"42","2007","7765"
"16","2008","7766"
"22","2009","7767"
"25","2010","7768"
"8","2011","7769"
"31","2012","7770"
"22","2013","7771"
"20","2014","7772"
"29","2015","7773"
"29","2016","7774"
"30","2017","2233"
"19","2018","2237"
"41","1972","7775"
"38","1973","7776"
"12","1974","7777"
"31","1975","7778"
"8","1983","7779"
"65","1991","7780"
"15","1992","7781"
"19","1993","7782"
"85","2004","7783"
"70","2005","7784"
"69","2006","7785"
"93","2007","7786"
"34","2008","7787"
"23","2009","7788"
"65","2012","7789"
"56","2014","7790"
"78","2015","7791"
"48","2018","2238"
"39","1973","7792"
"32","1975","7793"
"9","1983","7794"
"20","1993","7795"
"86","2004","7796"
"71","2005","7797"
"70","2006","7798"
"94","2007","7799"
"35","2008","7800"
"24","2009","7801"
"66","2012","7802"
"57","2014","7803"
"68","2015","7804"
"49","2018","2239"
"138","1985","7805"
"17","1902","7806"
"17","1902","7806"
"14","1903","7807"
"15","1904","7808"
"15","1904","7808"
"14","1905","7809"
"14","1905","7809"
"23","1906","7810"
"23","1906","7810"
"12","1909","7811"
"12","1909","7811"
"41","1910","7812"
"41","1910","7812"
"29","1911","7813"
"29","1911","7813"
"43","1912","7814"
"43","1912","7814"
"14","1913","7815"
"14","1913","7815"
"24","1915","7816"
"5","1916","7817"
"12","1917","7818"
"12","1917","7818"
"20","1918","7819"
"20","1918","7819"
"42","1918","7820"
"42","1918","7820"
"15","1920","7821"
"15","1920","7821"
"42","1920","7822"
"42","1920","7822"
"13","1921","7823"
"13","1921","7823"
"42","1922","7824"
"42","1922","7824"
"36","1923","7825"
"36","1923","7825"
"35","1924","7826"
"35","1924","7826"
"1","1926","7827"
"1","1926","7827"
"52","1926","7828"
"52","1926","7828"
"28","1927","7829"
"28","1927","7829"
"48","1928","7830"
"48","1928","7830"
"34","1929","7831"
"34","1929","7831"
"55","1930","7832"
"55","1930","7832"
"17","1931","7833"
"17","1931","7833"
"49","1932","7834"
"49","1932","7834"
"33","1933","7835"
"33","1933","7835"
"50","1934","7836"
"50","1934","7836"
"51","1935","7837"
"51","1935","7837"
"59","1936","7838"
"59","1936","7838"
"47","1937","7839"
"47","1937","7839"
"47","1938","7840"
"47","1938","7840"
"87","1939","7841"
"87","1939","7841"
"99","1940","7842"
"99","1940","7842"
"60","1941","7843"
"60","1941","7843"
"44","1942","7844"
"44","1942","7844"
"56","1943","7845"
"56","1943","7845"
"26","1944","7846"
"26","1944","7846"
"33","1945","7847"
"33","1945","7847"
"56","1946","7848"
"56","1946","7848"
"50","1947","7849"
"50","1947","7849"
"40","1948","7850"
"40","1948","7850"
"42","1949","7851"
"42","1949","7851"
"35","1950","7852"
"35","1950","7852"
"37","1951","7853"
"59","1952","7854"
"43","1953","7855"
"34","1954","7856"
"41","1955","7857"
"70","1956","7858"
"51","1957","7859"
"60","1958","7860"
"67","1959","7861"
"50","1960","7862"
"58","1961","7863"
"64","1962","7864"
"59","1963","7865"
"73","1964","7866"
"47","1947","307"
"47","1947","307"
"136","1974","7225"
"11","1911","4175"
"11","1911","4175"
"28","1920","7226"
"28","1920","7226"
"1","1928","4176"
"1","1928","4176"
"25","1929","4177"
"25","1929","4177"
"79","1983","260"
"10","1995","4178"
"113","2008","2245"
"110","2005","2248"
"130","1992","7867"
"6","1994","2247"
"88","1990","4179"
"21","1992","4180"
"179","1991","2250"
"33","1991","2249"
"60","1989","2251"
"58","2013","1888"
"123","2005","4181"
"122","2005","2252"
"11","1938","7868"
"11","1938","7868"
"60","1933","723"
"60","1933","723"
"59","1978","4183"
"202","1985","7869"
