"ID","ACT_NO","YEAR","DATE","ACT_NAME_ID"
"C2005A00094","94","2005","2005-07-06","1248"
"C2012C00718","145","1991","2012-10-17","261"
"C2004A03181","142","1985","1985-12-04","114"
"C2016C00380","71","2013","2016-04-29","1810"
"C2013A00072","72","2013","2013-06-27","1811"
"C2004C01237","81","2001",,"2270"
"C2004A03182","143","1985","1985-12-04","115"
"C2006A00095","95","2006","2006-09-05","2271"
"C2016C00686","79","2013","2016-07-01","1846"
"C2013A00078","78","2013","2013-06-28","1847"
"C2012C00793","6","1988","2012-11-07","724"
"C2012C00565","45","1996","2012-07-27","12"
"C2004A01059","122","2002","2002-12-02","2272"
"C2004C00416","8","1933",,"399"
"C2012C00725","42","1954","2012-10-19","400"
"C2018A00059","59","2018","2018-06-29","2273"
"C2017C00354","40","2015","2017-11-09","1913"
"C2017A00115","115","2017","2017-10-30","2274"
"C2018C00079","6","1983","2018-03-28","263"
"C2004A04679","3","1994","1994-01-18","2275"
"C2006A00049","49","2006","2006-06-01","2276"
"C2014C00762","7","1983","2014-11-06","264"
"C2017C00096","60","1975","2017-03-22","851"
"C1955A00070","70","1955","1955-11-04","2277"
"C2004A04142","67","1991","1991-06-25","2278"
"C2004C02014","66","1971","2009-11-18","2279"
"C2012C00036","92","1994","2012-01-03","693"
"C2004A01086","1","2003","2003-02-24","2280"
"C2018C00316","108","1988","2018-08-06","2281"
"C2018A00032","32","2018","2018-05-22","2282"
"C2016C00802","106","1988","2016-07-14","726"
"C2013A00028","28","2013","2013-03-30","2283"
"C2004A03388","147","1986","1986-12-11","2284"
"C2004C02023","34","1933","2009-11-24","2285"
"C2013A00147","147","2013","2013-12-17","2286"
"C2014C00533","9","1982","2014-08-07","516"
"C2004A04461","170","1992","1992-12-11","2287"
"C2007A00115","115","2007","2007-06-28","2288"
"C2016C00306","168","2012","2016-04-15","1743"
"C2012A00169","169","2012","2012-12-03","2289"
"C2018C00256","20","2007","2018-07-09","1376"
"C2011A00001","1","2011","2011-03-02","2290"
"C2014C00700","54","1988","2014-10-23","741"
"C2007A00131","131","2007","2007-08-20","2291"
"C2008A00086","86","2008","2008-09-20","2292"
"C2010C00744","26","2009","2010-11-01","2293"
"C2004A01080","143","2002","2002-12-19","2294"
"C2004A00353","95","1998","1998-07-23","2295"
"C2004A00640","48","2000","2000-05-03","2296"
"C2008A00087","87","2008","2008-09-20","2297"
"C2012A00191","191","2012","2012-12-11","2298"
"C2004A01384","149","2004","2004-12-14","2299"
"C2018C00491","8","2004","2018-12-12","1213"
"C2010A00041","41","2010","2010-04-14","2300"
"C2010A00014","14","2010","2010-03-11","2301"
"C2006A00097","97","2006","2006-09-14","2302"
"C2018A00136","136","2018","2018-11-29","2303"
"C2007A00030","30","2007","2007-03-29","2304"
"C2013C00616","180","2011","2013-10-04","2305"
"C2015A00165","165","2015","2015-12-02","2306"
"C2013A00050","50","2013","2013-05-28","2307"
"C2012A00116","116","2012","2012-09-08","1725"
"C2005C00207","9","2004","2005-03-14","1214"
"C2016C00828","210","1991","2016-07-15","856"
"C2018C00478","6","1959","2018-12-06","857"
"C1973A00116","116","1973","1973-10-26","2308"
"C2004A00188","132","1974","1974-12-09","2309"
"C1973A00193","193","1973","1973-12-17","2310"
"C2011A00125","125","2011","2011-10-17","2311"
"C2013A00090","90","2013","2013-06-28","2312"
"C2015A00129","129","2015","2015-09-16","2313"
"C2004A03407","166","1986","1986-12-18","2314"
"C2004A03877","129","1989","1989-11-07","2315"
"C2004A04484","193","1992","1992-12-21","2316"
"C2004A04745","69","1994","1994-06-09","858"
"C2018C00223","12","1997","2018-06-19","122"
"C2018C00432","33","1966","2018-11-05","121"
"C2018A00118","118","2018","2018-09-27","2317"
"C2005A00020","20","2005","2005-03-18","2318"
"C2004C01231","158","2001",,"2319"
"C2004A01002","61","2002","2002-07-03","2320"
"C2004A01314","81","2004","2004-06-23","2321"
"C2007A00043","43","2007","2007-04-10","2322"
"C2004C01393","131","2002",,"2323"
"C2005C00495","80","2004","2005-07-25","2324"
"C2010A00106","106","2010","2010-07-14","2325"
"C2006A00033","33","2006","2006-05-03","2326"
"C2007A00044","44","2007","2007-04-10","2327"
"C2006A00034","34","2006","2006-05-03","2328"
"C2007A00057","57","2007","2007-04-15","2329"
"C2004A03064","25","1985","1985-05-22","2330"
"C2012C00128","27","1909","2012-01-20","860"
"C1971A00004","4","1971","1971-03-12","2331"
"C2004A03387","146","1986","1986-12-11","2332"
"C2017C00008","139","1984","2017-01-03","19"
"C2016A00028","28","2016","2016-03-23","2333"
"C2018C00363","61","2015","2018-09-12","2334"
"C2017A00034","34","2017","2017-05-17","2335"
"C2016C00675","16","2014","2016-06-20","1986"
"C2016C00674","17","2014","2016-06-20","1987"
"C2016C00676","18","2014","2016-06-21","1988"
"C2017C00318","62","2015","2017-09-27","2336"
"C2018A00088","88","2018","2018-08-31","2337"
"C2004A00551","160","1999","1999-12-08","2338"
"C2005A00103","103","2005","2005-08-23","2339"
"C2004A00886","126","2001","2001-09-27","2340"
"C2004A00977","64","2002","2002-07-05","2341"
"C2004A03488","79","1987","1987-06-05","2342"
"C2004A04033","102","1990","1990-12-18","2343"
"C2004A04233","158","1991","1991-10-21","2344"
"C2004A03593","184","1987","1987-12-30","2345"
"C2004A03489","80","1987","1987-06-05","2346"
"C2004A03543","134","1987","1987-12-18","2347"
"C2004A04082","7","1991","1990-01-08","2348"
"C2004A04258","183","1991","1991-12-06","2349"
"C2016C00141","22","2015","2016-02-18","2350"
"C2004A02344","143","1980","1980-09-19","2351"
"C2004A02490","113","1981","1981-06-24","2352"
"C2004A02713","154","1982","1982-12-31","2353"
"C2004A03027","163","1984","1984-10-25","2354"
"C2004A03105","66","1985","1985-06-05","2355"
"C2004A03106","67","1985","1985-06-05","2356"
"C2004A03230","191","1985","1985-12-16","2357"
"C2004A03243","2","1986","1986-02-19","2358"
"C2004A04034","103","1990","1990-12-18","2359"
"C2004A03739","146","1988","1988-12-26","2360"
"C2004A00793","23","2001","2001-04-06","2361"
"C2007A00028","28","2007","2007-03-15","2362"
"C2004A00859","92","2001","2001-07-20","2363"
"C2004A01057","120","2002","2002-12-02","2364"
"C2004A01063","126","2002","2002-12-10","2365"
"C2004A01089","4","2003","2003-02-26","2366"
"C2006A00127","127","2006","2006-11-04","2367"
"C2017A00113","113","2017","2017-10-16","2057"
"C2013A00029","29","2013","2013-03-30","2368"
"C2013A00051","51","2013","2013-05-28","2369"
"C2011A00036","36","2011","2011-05-26","2370"
"C2008C00330","68","2007","2008-07-17","2371"
"C2008A00114","114","2008","2008-10-31","2372"
"C2016A00014","14","2016","2016-02-29","2373"
"C2018A00011","11","2018","2018-03-05","2374"
"C2008C00351","128","2006","2008-07-21","2375"
"C2011C00171","94","2010","2011-04-01","2376"
"C2008A00158","158","2008","2008-12-18","2377"
"C2018A00095","95","2018","2018-08-31","2378"
"C2015A00127","127","2015","2015-09-16","2379"
"C2016A00073","73","2016","2016-11-23","2380"
"C2004A03477","68","1987","1987-06-05","2381"
"C2004A03649","56","1988","1988-06-15","2382"
"C2018C00375","110","1992","2018-09-17","273"
"C2004A04989","139","1995","1995-12-08","2383"
"C2004A05210","115","1997","1997-07-07","2384"
"C2004A00765","172","2000","2000-12-21","2385"
"C2004A00587","198","1999","1999-12-23","2386"
"C2004A00586","197","1999","1999-12-23","2387"
"C2005A00043","43","2005","2005-04-01","2388"
"C2006A00153","153","2006","2006-12-08","2389"
"C2016A00055","55","2016","2016-09-16","2390"
"C2004A03247","6","1986","1986-04-14","361"
"C2009C00283","7","1986","2009-07-03","1889"
"C2017C00273","88","2016","2017-08-31","2089"
"C2007A00153","153","2007","2007-09-24","2391"
"C2012A00042","42","2012","2012-04-15","2392"
"C2005A00112","112","2005","2005-09-12","1284"
"C2017C00272","87","2016","2017-08-30","2088"
"C2017A00001","1","2017","2017-02-16","2393"
"C2018C00446","67","2010","2018-11-13","1549"
"C2015A00001","1","2015","2015-02-25","2394"
"C2016C01029","92","1985","2016-11-01","363"
"C2016C00723","126","2011","2016-07-05","1657"
"C2011A00172","172","2011","2011-12-05","1658"
"C2011A00128","128","2011","2011-11-03","1659"
"C2012C00796","127","2011","2012-11-08","1660"
"C2016C00550","111","2015","2016-06-02","2030"
"C2016A00021","21","2016","2016-03-18","2031"
"C2015A00112","112","2015","2015-06-30","2395"
"C2016C00961","34","1974","2016-10-24","743"
"C2014C00376","35","2006","2014-07-15","1304"
"C2017C00076","101","2011","2017-03-08","1613"
"C2011A00102","102","2011","2011-09-15","2396"
"C2014A00119","119","2014","2014-11-25","2397"
"C2010A00123","123","2010","2010-11-18","1628"
"C2017C00280","160","1991","2017-09-06","744"
"C2004A04263","188","1991","1991-12-06","2398"
"C2016C01005","15","1905","2016-10-28","863"
"C1920A00033","33","1920","1920-10-11","2399"
"C1930A00018","18","1930","1930-07-21","2400"
"C1938A00017","17","1938","1938-07-05","2401"
"C1946A00074","74","1946","1946-12-14","2402"
"C1949A00034","34","1949","1949-07-12","2403"
"C2004A01653","15","1977","1977-02-28","2404"
"C2004A00622","30","2000","2000-04-19","2405"
"C2006A00010","10","2006","2006-03-23","2406"
"C2012C00787","58","1996","2012-11-06","466"
"C2013A00100","100","2013","2013-06-29","2407"
"C2015C00341","96","2013","2015-07-17","2408"
"C2014C00438","22","1998","2014-07-22","864"
"C2016C00742","32","1945","2016-07-06","520"
"C2004A01061","124","2002","2002-12-10","2409"
"C2016C00467","26","1994","2016-05-16","521"
"C2017C00074","145","1986","2017-03-07","865"
"C2004A00333","76","1998","1998-07-02","2410"
"C2016C00512","121","1972","2016-05-24","436"
"C2010A00065","65","2010","2010-06-28","1553"
"C2018C00289","124","1989","2018-07-26","437"
"C2004A00641","49","2000","2000-05-03","2411"
"C2004A00843","75","2001","2001-06-30","2412"
"C2011C00779","53","2006","2011-09-26","2413"
"C2010C00151","146","2006","2010-03-10","2414"
"C2018C00277","3","1988","2018-07-17","438"
"C2011A00088","88","2011","2011-08-04","2415"
"C2016C01091","41","1958","2016-11-15","745"
"C2004C00122","69","1958",,"2416"
"C2004A01549","118","1976","1976-11-18","2417"
"C2004A02484","107","1981","1981-06-24","2418"
"C2012C00729","28","1989","2012-10-19","124"
"C2016C01097","63","1988","2016-11-17","747"
